Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,KHC,KHC,KHC,KHC,KHC,,,,,,,,
Date,,,,,,,,,,,,,
2016-12-19,60.08674240112305,60.287957304291766,59.476163079974185,59.91328182531519,3365400,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-20,59.656551361083984,60.0867301132128,59.205552897494705,59.86470083332824,2665500,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-21,60.09367370605469,60.35733183785439,59.531663214820306,59.62186079563696,2202000,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-22,60.558536529541016,60.56547643262028,59.87857424843423,59.982646326648,1966300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-23,60.759765625,60.794459854940925,60.336521428982735,60.43365892050181,2484700,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-27,60.7667121887207,61.11363335176168,60.57243718439325,60.8222208452705,1993200,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-28,60.57938766479492,60.89855458316551,60.385112609577895,60.7112194352343,1384800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-29,61.00955581665039,61.16220197504496,60.57243705782698,60.57243705782698,1837800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-30,60.58632278442383,61.169153197616694,60.41286217117324,61.07201038408637,2051400,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-03,60.73200988769531,61.037302164569134,59.9479700690648,60.9540391908046,3104600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-04,60.38510513305664,61.03731870361628,60.29490752390167,60.725086437592005,2274900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-05,60.03818893432617,60.572450608224514,59.7259619358335,60.29491255756545,3037400,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-06,59.885528564453125,60.107557893697425,59.55248721738505,60.038174720857974,2450200,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
