Date,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
2021-04-23,45.18312072753906,45.23086764453932,44.50672690621932,44.66587688508666,3014352,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-26,45.29452896118164,45.77994154670533,45.02396949756886,45.32636024056359,1883270,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-27,45.4298095703125,45.676493985072376,44.6181375462971,44.73750004214531,2619302,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-28,45.88338470458984,46.26534720417312,45.45367528977534,45.63670032314509,4489690,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-29,46.2335205078125,46.90991432418637,45.49346734147053,46.36084241331544,2841168,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-04-30,46.15394592285156,46.57569916676941,45.82768651970407,45.97092407529257,2779709,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-05-03,46.9019660949707,47.30780053056891,46.39267838622683,46.48021281221104,2210419,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-05-04,48.047847747802734,48.07172280995887,46.949703877894684,47.00540701364752,2654467,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-05-05,48.31840896606445,48.66058401002792,47.88869950400245,47.88869950400245,2445696,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-05-06,49.13008499145508,49.169875697896735,48.103556569966926,48.59692863305744,2104608,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-05-07,49.05051040649414,49.169876115698855,48.42981961755838,48.68446026643169,1326230,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-05-10,49.40064239501953,50.02928937003069,49.17782983509645,49.49613303419126,2159309,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
